Date/Time,Word Count,en,zh
2023.07.07-01.27.41,0,0,0
2023.07.07-01.30.20,3118,3118,0
2023.07.13-21.37.01,3120,3120,0
2023.07.13-22.12.57,3120,3120,3120
2023.07.15-00.58.36,3138,3138,3098
2023.07.15-01.06.30,3138,3138,3122
2023.07.15-11.56.41,3136,3136,3113
2023.07.16-02.15.48,3186,3186,3122
2023.07.16-02.18.48,3186,3186,3176
2023.07.16-02.41.43,3141,3141,3131
2023.07.16-02.45.48,3136,3136,3126
2023.08.22-20.02.08,3243,3243,3046
2023.08.22-20.09.53,3232,3232,3115
2023.08.22-20.17.07,3229,3229,3226
2023.08.22-20.41.58,3229,3229,3229
2023.08.22-20.42.21,3228,3228,3178
2023.08.22-20.45.20,3228,3228,3228
2023.08.22-21.40.33,3228,3228,3225
